,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_metals
0,LA,Louisiana,2021,0.004222025450469379
1,LA,Louisiana,2022,0.004222025450469379
2,LA,Louisiana,2023,0.004222025450469379
3,LA,Louisiana,2024,0.004222025450469379
4,LA,Louisiana,2025,0.004222025450469379
5,LA,Louisiana,2026,0.004222025450469379
6,LA,Louisiana,2027,0.004222025450469379
7,LA,Louisiana,2028,0.004222025450469379
8,LA,Louisiana,2029,0.004222025450469379
9,LA,Louisiana,2030,0.004222025450469379
10,LA,Louisiana,2031,0.004222025450469379
11,LA,Louisiana,2032,0.004222025450469379
12,LA,Louisiana,2033,0.004222025450469379
13,LA,Louisiana,2034,0.004222025450469379
14,LA,Louisiana,2035,0.004222025450469379
15,LA,Louisiana,2036,0.004222025450469379
16,LA,Louisiana,2037,0.004222025450469379
17,LA,Louisiana,2038,0.004222025450469379
18,LA,Louisiana,2039,0.004222025450469379
19,LA,Louisiana,2040,0.004222025450469379
20,LA,Louisiana,2041,0.004222025450469379
21,LA,Louisiana,2042,0.004222025450469379
22,LA,Louisiana,2043,0.004222025450469379
23,LA,Louisiana,2044,0.004222025450469379
24,LA,Louisiana,2045,0.004222025450469379
25,LA,Louisiana,2046,0.004222025450469379
26,LA,Louisiana,2047,0.004222025450469379
27,LA,Louisiana,2048,0.004222025450469379
28,LA,Louisiana,2049,0.004222025450469379
29,LA,Louisiana,2050,0.004222025450469379
